;PC Software:StarLab Version 2.11 Build 2
;Logged:21/10/2022 at 13:34:39
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 21/10/2022 at 13:34:39.238000
  Timestamp   	  Channel A  	  Channel B  	
       131.456	             	  1.270e-005 	
       132.262	  2.930e-004 	             	
       132.512	             	  1.271e-005 	
       133.262	  2.920e-004 	             	
       133.568	             	  1.282e-005 	
       134.262	  2.840e-004 	             	
       134.592	             	  1.251e-005 	
       135.262	  2.840e-004 	             	
       135.648	             	  1.252e-005 	
       136.262	  2.840e-004 	             	
       136.704	             	  1.266e-005 	
       137.262	  2.840e-004 	             	
       137.727	             	  1.276e-005 	
       138.262	  2.840e-004 	             	
       138.784	             	  1.283e-005 	
       139.262	  2.840e-004 	             	
       139.839	             	  1.266e-005 	
       140.262	  2.840e-004 	             	
       140.927	             	  1.291e-005 	
       141.327	  2.840e-004 	             	
       141.983	             	  1.304e-005 	
       142.327	  2.840e-004 	             	
       143.039	             	  1.305e-005 	
       143.327	  2.830e-004 	             	
       144.127	             	  1.319e-005 	
       144.327	  2.830e-004 	             	
       145.183	             	  1.325e-005 	
       145.327	  2.820e-004 	             	
       146.239	             	  1.338e-005 	
       146.327	  2.820e-004 	             	
       147.296	             	  1.351e-005 	
       147.328	  2.820e-004 	             	
       148.321	             	  1.361e-005 	
       148.328	  2.820e-004 	             	
       149.328	  2.830e-004 	             	
       149.376	             	  1.376e-005 	
       150.328	  2.840e-004 	             	
       150.432	             	  1.390e-005 	
       151.328	  2.840e-004 	             	
       151.456	             	  1.401e-005 	
       152.328	  2.840e-004 	             	
       152.512	             	  1.384e-005 	
       153.328	  2.840e-004 	             	
       153.568	             	  1.401e-005 	
       154.328	  2.840e-004 	             	
       154.591	             	  1.418e-005 	
       155.395	  2.840e-004 	             	
       155.647	             	  1.430e-005 	
       156.460	  2.840e-004 	             	
       156.703	             	  1.437e-005 	
       157.460	  2.840e-004 	             	
       157.759	             	  1.433e-005 	
       158.460	  2.840e-004 	             	
       158.783	             	  1.444e-005 	
       159.460	  2.840e-004 	             	
       159.839	             	  1.453e-005 	
       160.460	  2.840e-004 	             	
       160.895	             	  1.463e-005 	
       161.460	  2.830e-004 	             	
       161.919	             	  1.472e-005 	
       162.460	  2.840e-004 	             	
       162.975	             	  1.476e-005 	
       163.460	  2.840e-004 	             	
       164.031	             	  1.485e-005 	
       164.460	  2.830e-004 	             	
       165.056	             	  1.499e-005 	
       165.461	  2.840e-004 	             	
       166.112	             	  1.496e-005 	
       166.461	  2.830e-004 	             	
       167.168	             	  1.501e-005 	
       167.461	  2.820e-004 	             	
       168.256	             	  1.513e-005 	
       168.461	  2.840e-004 	             	
       169.312	             	  1.505e-005 	
       169.461	  2.840e-004 	             	
       170.367	             	  1.526e-005 	
       170.461	  2.840e-004 	             	
       171.423	             	  1.541e-005 	
       171.526	  2.840e-004 	             	
