;PC Software:StarLab Version 2.11 Build 2
;Logged:28/10/2022 at 12:13:03
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Juno Photodiode PD300-1W (s/n:584133)  JN1.53 (s/n:3041014)
;Channel B:Nova II Photodiode PD300-1W (s/n:533500)  NN2.37 (s/n:517373)
;Channel C:Nova II Photodiode PD300-3W-v1 (s/n:928013)  NN2.17 (s/n:626171)

;Channel A:Details
;Name:PD300-1W
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel B:Details
;Name:PD300-1W
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT

;Channel C:Details
;Name:PD300-3W-v1
;Graph Color:RGB(51,204,51)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:690
;Settings:Range:AUTO
;Settings:Filter:OUT
;--------------------


;First Pulse Arrived : 28/10/2022 at 12:13:03.340000
  Timestamp   	  Channel A  	  Channel B  	  Channel C  	
       146.496	             	  2.306e-005 	             	
       147.320	  2.600e-004 	             	             	
       147.401	             	             	  9.090e-007 	
       147.520	             	  2.329e-005 	             	
       148.320	  2.600e-004 	             	             	
       148.425	             	             	  9.110e-007 	
       148.576	             	  2.365e-005 	             	
       149.320	  2.600e-004 	             	             	
       149.481	             	             	  9.040e-007 	
       149.631	             	  2.373e-005 	             	
       150.320	  2.600e-004 	             	             	
       150.537	             	             	  9.080e-007 	
       150.655	             	  2.423e-005 	             	
       151.320	  2.600e-004 	             	             	
       151.561	             	             	  9.100e-007 	
       151.711	             	  2.430e-005 	             	
       152.320	  2.590e-004 	             	             	
       152.617	             	             	  9.110e-007 	
       152.767	             	  2.464e-005 	             	
       153.320	  2.590e-004 	             	             	
       153.673	             	             	  9.130e-007 	
       153.791	             	  2.483e-005 	             	
       154.320	  2.580e-004 	             	             	
       154.729	             	             	  9.230e-007 	
       154.847	             	  2.494e-005 	             	
       155.320	  2.590e-004 	             	             	
       155.753	             	             	  9.170e-007 	
       155.903	             	  2.447e-005 	             	
       156.320	  2.580e-004 	             	             	
       156.809	             	             	  9.230e-007 	
       156.991	             	  2.542e-005 	             	
       157.320	  2.600e-004 	             	             	
       157.865	             	             	  9.150e-007 	
       158.047	             	  2.273e-005 	             	
       158.320	  2.600e-004 	             	             	
       158.889	             	             	  9.230e-007 	
       159.103	             	  2.453e-005 	             	
       159.386	  2.590e-004 	             	             	
       159.946	             	             	  9.280e-007 	
       160.160	             	  2.528e-005 	             	
       160.386	  2.570e-004 	             	             	
       161.002	             	             	  9.390e-007 	
       161.184	             	  2.575e-005 	             	
       161.386	  2.570e-004 	             	             	
       162.025	             	             	  9.450e-007 	
       162.240	             	  2.604e-005 	             	
       162.386	  2.570e-004 	             	             	
       163.081	             	             	  9.530e-007 	
       163.296	             	  2.599e-005 	             	
       163.386	  2.560e-004 	             	             	
       164.137	             	             	  9.610e-007 	
       164.319	             	  2.607e-005 	             	
       164.386	  2.590e-004 	             	             	
       165.225	             	             	  9.590e-007 	
       165.376	             	  2.610e-005 	             	
       165.386	  2.570e-004 	             	             	
       166.281	             	             	  9.790e-007 	
       166.386	  2.550e-004 	             	             	
       166.431	             	  2.667e-005 	             	
       167.337	             	             	  9.930e-007 	
       167.386	  2.540e-004 	             	             	
       167.455	             	  2.717e-005 	             	
       168.386	  2.540e-004 	             	             	
       168.393	             	             	  1.004e-006 	
       168.511	             	  2.764e-005 	             	
       169.386	  2.540e-004 	             	             	
       169.417	             	             	  9.940e-007 	
       169.567	             	  2.720e-005 	             	
       170.386	  2.540e-004 	             	             	
       170.473	             	             	  9.860e-007 	
       170.655	             	  2.765e-005 	             	
       171.386	  2.540e-004 	             	             	
       171.529	             	             	  1.017e-006 	
       171.711	             	  2.797e-005 	             	
       172.386	  2.530e-004 	             	             	
       172.553	             	             	  1.036e-006 	
       172.767	             	  2.849e-005 	             	
       173.386	  2.530e-004 	             	             	
       173.609	             	             	  1.059e-006 	
       173.823	             	  2.881e-005 	             	
       174.386	  2.530e-004 	             	             	
       174.665	             	             	  1.070e-006 	
       174.847	             	  2.827e-005 	             	
       175.386	  2.530e-004 	             	             	
       175.688	             	             	  1.074e-006 	
       175.903	             	  2.918e-005 	             	
       176.451	  2.520e-004 	             	             	
       176.744	             	             	  1.104e-006 	
       176.959	             	  2.956e-005 	             	
       177.452	  2.510e-004 	             	             	
       177.801	             	             	  1.112e-006 	
       177.984	             	  2.988e-005 	             	
       178.453	  2.510e-004 	             	             	
       178.857	             	             	  1.131e-006 	
       179.040	             	  3.020e-005 	             	
       179.519	  2.510e-004 	             	             	
       179.881	             	             	  1.151e-006 	
       180.096	             	  3.070e-005 	             	
       180.519	  2.510e-004 	             	             	
       180.937	             	             	  1.170e-006 	
       181.119	             	  3.100e-005 	             	
       181.519	  2.510e-004 	             	             	
       181.993	             	             	  1.176e-006 	
       182.175	             	  3.100e-005 	             	
       182.519	  2.530e-004 	             	             	
       183.017	             	             	  1.172e-006 	
       183.231	             	  3.130e-005 	             	
       183.519	  2.540e-004 	             	             	
       184.073	             	             	  1.179e-006 	
       184.319	             	  3.180e-005 	             	
       184.519	  2.540e-004 	             	             	
       185.129	             	             	  1.171e-006 	
       185.375	             	  3.120e-005 	             	
       185.519	  2.550e-004 	             	             	
       186.153	             	             	  1.187e-006 	
       186.431	             	  3.050e-005 	             	
       186.519	  2.440e-004 	             	             	
       187.209	             	             	  1.177e-006 	
       187.487	             	  3.120e-005 	             	
       187.519	  2.440e-004 	             	             	
       188.265	             	             	  1.204e-006 	
       188.511	             	  3.160e-005 	             	
       188.519	  2.450e-004 	             	             	
       189.321	             	             	  1.230e-006 	
       189.519	  2.450e-004 	             	             	
       189.567	             	  3.220e-005 	             	
       190.345	             	             	  1.224e-006 	
       190.519	  2.450e-004 	             	             	
       190.623	             	  3.210e-005 	             	
       191.400	             	             	  1.241e-006 	
       191.584	  2.450e-004 	             	             	
       191.647	             	  3.270e-005 	             	
       192.456	             	             	  1.237e-006 	
       192.584	  2.480e-004 	             	             	
       192.703	             	  3.180e-005 	             	
       193.480	             	             	  1.260e-006 	
       193.584	  2.450e-004 	             	             	
       193.759	             	  3.290e-005 	             	
       194.536	             	             	  1.257e-006 	
       194.584	  2.450e-004 	             	             	
       194.784	             	  3.280e-005 	             	
       195.585	  2.440e-004 	             	             	
       195.593	             	             	  1.274e-006 	
       195.840	             	  3.250e-005 	             	
       196.585	  2.440e-004 	             	             	
       196.617	             	             	  1.291e-006 	
       196.896	             	  3.340e-005 	             	
       197.585	  2.420e-004 	             	             	
       197.673	             	             	  1.293e-006 	
       197.983	             	  3.350e-005 	             	
       198.585	  2.440e-004 	             	             	
       198.729	             	             	  1.308e-006 	
       199.039	             	  3.330e-005 	             	
       199.585	  2.420e-004 	             	             	
       199.817	             	             	  1.326e-006 	
       200.095	             	  3.380e-005 	             	
       200.585	  2.410e-004 	             	             	
       200.873	             	             	  1.337e-006 	
       201.151	             	  3.410e-005 	             	
       201.585	  2.390e-004 	             	             	
       201.929	             	             	  1.358e-006 	
       202.175	             	  3.450e-005 	             	
       202.585	  2.390e-004 	             	             	
       202.985	             	             	  1.377e-006 	
       203.231	             	  3.450e-005 	             	
       203.585	  2.390e-004 	             	             	
       204.009	             	             	  1.388e-006 	
       204.287	             	  3.240e-005 	             	
       204.585	  2.440e-004 	             	             	
       205.065	             	             	  1.368e-006 	
       205.311	             	  3.330e-005 	             	
       205.650	  2.440e-004 	             	             	
       206.120	             	             	  1.385e-006 	
       206.367	             	  3.410e-005 	             	
       206.650	  2.410e-004 	             	             	
       207.145	             	             	  1.421e-006 	
       207.423	             	  3.490e-005 	             	
       207.650	  2.390e-004 	             	             	
       208.200	             	             	  1.449e-006 	
       208.447	             	  3.530e-005 	             	
       208.650	  2.380e-004 	             	             	
       209.256	             	             	  1.459e-006 	
       209.503	             	  3.560e-005 	             	
       209.650	  2.360e-004 	             	             	
       210.280	             	             	  1.468e-006 	
       210.559	             	  3.550e-005 	             	
       210.650	  2.360e-004 	             	             	
       211.336	             	             	  1.483e-006 	
       211.646	             	  3.590e-005 	             	
       211.651	  2.360e-004 	             	             	
       212.393	             	             	  1.494e-006 	
       212.651	  2.350e-004 	             	             	
       212.703	             	  3.590e-005 	             	
       213.449	             	             	  1.505e-006 	
       213.651	  2.350e-004 	             	             	
       213.759	             	  3.580e-005 	             	
       214.473	             	             	  1.531e-006 	
       214.651	  2.340e-004 	             	             	
       214.815	             	  3.630e-005 	             	
       215.529	             	             	  1.559e-006 	
       215.651	  2.330e-004 	             	             	
       215.839	             	  3.690e-005 	             	
       216.585	             	             	  1.583e-006 	
       216.651	  2.320e-004 	             	             	
       216.895	             	  3.730e-005 	             	
       217.609	             	             	  1.598e-006 	
       217.651	  2.320e-004 	             	             	
       217.951	             	  3.730e-005 	             	
       218.651	  2.310e-004 	             	             	
       218.665	             	             	  1.619e-006 	
       218.975	             	  3.760e-005 	             	
       219.651	  2.300e-004 	             	             	
       219.721	             	             	  1.639e-006 	
       220.031	             	  3.790e-005 	             	
       220.651	  2.300e-004 	             	             	
       220.745	             	             	  1.659e-006 	
       221.087	             	  3.820e-005 	             	
       221.651	  2.290e-004 	             	             	
       221.800	             	             	  1.668e-006 	
       222.111	             	  3.840e-005 	             	
       222.651	  2.300e-004 	             	             	
       222.856	             	             	  1.676e-006 	
